funnel_stage,user_id
Add to Cart,USR-00001
Add to Cart,USR-00004
Add to Cart,USR-00005
Add to Cart,USR-00007
Add to Cart,USR-00014
Add to Cart,USR-00015
Add to Cart,USR-00017
Add to Cart,USR-00021
Add to Cart,USR-00026
Add to Cart,USR-00027
Add to Cart,USR-00030
Add to Cart,USR-00035
Add to Cart,USR-00036
Add to Cart,USR-00038
Add to Cart,USR-00043
Add to Cart,USR-00045
Add to Cart,USR-00046
Add to Cart,USR-00047
Add to Cart,USR-00049
Add to Cart,USR-00050
Add to Cart,USR-00052
Add to Cart,USR-00053
Add to Cart,USR-00054
Add to Cart,USR-00057
Add to Cart,USR-00062
Add to Cart,USR-00068
Add to Cart,USR-00070
Add to Cart,USR-00074
Add to Cart,USR-00075
Add to Cart,USR-00077
Add to Cart,USR-00081
Add to Cart,USR-00103
Add to Cart,USR-00109
Add to Cart,USR-00111
Add to Cart,USR-00112
Add to Cart,USR-00113
Add to Cart,USR-00114
Add to Cart,USR-00115
Add to Cart,USR-00117
Add to Cart,USR-00122
Add to Cart,USR-00123
Add to Cart,USR-00124
Add to Cart,USR-00125
Add to Cart,USR-00129
Add to Cart,USR-00130
Add to Cart,USR-00131
Add to Cart,USR-00134
Add to Cart,USR-00136
Add to Cart,USR-00137
Add to Cart,USR-00140
Add to Cart,USR-00142
Add to Cart,USR-00143
Add to Cart,USR-00146
Add to Cart,USR-00151
Add to Cart,USR-00152
Add to Cart,USR-00153
Add to Cart,USR-00156
Add to Cart,USR-00157
Add to Cart,USR-00159
Add to Cart,USR-00171
Add to Cart,USR-00172
Add to Cart,USR-00177
Add to Cart,USR-00180
Add to Cart,USR-00182
Add to Cart,USR-00184
Add to Cart,USR-00185
Add to Cart,USR-00192
Add to Cart,USR-00193
Add to Cart,USR-00195
Add to Cart,USR-00205
Add to Cart,USR-00206
Add to Cart,USR-00211
Add to Cart,USR-00212
Add to Cart,USR-00217
Add to Cart,USR-00224
Add to Cart,USR-00226
Add to Cart,USR-00228
Add to Cart,USR-00231
Add to Cart,USR-00233
Add to Cart,USR-00236
Add to Cart,USR-00244
Add to Cart,USR-00245
Add to Cart,USR-00246
Add to Cart,USR-00248
Add to Cart,USR-00250
Add to Cart,USR-00253
Add to Cart,USR-00255
Add to Cart,USR-00256
Add to Cart,USR-00259
Add to Cart,USR-00268
Add to Cart,USR-00269
Add to Cart,USR-00276
Add to Cart,USR-00277
Add to Cart,USR-00280
Add to Cart,USR-00286
Add to Cart,USR-00287
Add to Cart,USR-00291
Add to Cart,USR-00294
Add to Cart,USR-00296
Add to Cart,USR-00298
Add to Cart,USR-00307
Add to Cart,USR-00309
Add to Cart,USR-00310
Add to Cart,USR-00311
Add to Cart,USR-00312
Add to Cart,USR-00313
Add to Cart,USR-00317
Add to Cart,USR-00318
Add to Cart,USR-00319
Add to Cart,USR-00320
Add to Cart,USR-00321
Add to Cart,USR-00324
Add to Cart,USR-00326
Add to Cart,USR-00332
Add to Cart,USR-00334
Add to Cart,USR-00343
Add to Cart,USR-00345
Add to Cart,USR-00346
Add to Cart,USR-00357
Add to Cart,USR-00358
Add to Cart,USR-00364
Add to Cart,USR-00366
Add to Cart,USR-00370
Add to Cart,USR-00371
Add to Cart,USR-00373
Add to Cart,USR-00374
Add to Cart,USR-00375
Add to Cart,USR-00378
Add to Cart,USR-00381
Add to Cart,USR-00382
Add to Cart,USR-00385
Add to Cart,USR-00386
Add to Cart,USR-00390
Add to Cart,USR-00392
Add to Cart,USR-00396
Add to Cart,USR-00397
Add to Cart,USR-00402
Add to Cart,USR-00405
Add to Cart,USR-00408
Add to Cart,USR-00409
Add to Cart,USR-00410
Add to Cart,USR-00412
Add to Cart,USR-00414
