user_id,sessions,days_active,device,traffic_source,max_step,avg_session_time
1,1,51,0,0,7,265
2,4,71,2,1,6,208
3,2,48,2,0,5,461
4,2,19,1,2,4,430
5,1,262,1,3,3,554
6,1,84,0,1,2,569
7,1,155,0,1,3,352
8,3,53,0,0,5,290
9,2,107,0,1,3,428
10,2,357,1,2,6,366
11,1,304,0,0,2,329
12,4,135,0,0,4,148
13,3,69,2,1,4,587
14,1,11,0,2,4,442
15,1,143,2,0,6,413
16,1,192,2,3,7,509
17,1,69,1,0,2,334
18,2,23,0,0,2,225
19,1,181,0,2,2,362
20,1,293,0,0,4,49
21,2,9,0,1,3,462
22,1,271,0,0,5,455
23,1,93,2,0,3,258
24,1,17,0,0,4,553
25,1,154,1,3,5,246
26,3,328,0,1,4,404
27,1,149,1,2,4,65
28,2,267,2,0,2,57
29,2,328,0,1,3,401
30,1,106,0,1,4,115
31,2,35,1,3,3,217
32,1,119,1,2,6,334
33,1,14,1,2,6,451
34,4,14,0,0,5,109
35,4,266,0,1,3,215
36,3,140,2,1,5,34
37,1,294,2,3,3,587
38,1,364,0,0,3,526
39,2,119,1,0,3,538
40,1,238,0,1,2,31
41,1,34,0,0,3,246
42,1,169,0,0,3,566
43,1,10,0,2,7,286
44,4,122,0,1,3,482
45,1,145,0,2,6,453
46,2,223,0,2,3,353
47,1,257,1,0,2,528
48,2,268,1,1,4,226
49,2,359,1,0,4,533
50,1,4,2,3,1,301
51,4,354,0,1,3,47
52,3,106,1,0,3,136
53,4,85,1,0,3,558
54,3,214,0,1,5,154
55,2,121,0,0,4,512
56,4,132,0,0,2,33
57,1,338,1,2,6,380
58,1,197,0,2,3,380
59,1,19,1,0,5,257
60,1,130,1,1,5,45
61,1,12,1,2,7,454
62,1,81,1,0,3,493
63,3,330,1,2,4,275
64,1,354,0,0,3,206
65,1,262,0,1,4,572
66,2,125,1,1,3,538
67,1,307,0,1,3,591
68,3,267,0,2,6,593
69,1,140,0,0,2,262
70,5,329,2,0,6,67
71,3,2,0,1,6,520
72,1,8,1,2,4,473
73,1,250,0,0,3,49
74,3,139,0,2,3,585
75,2,124,1,0,7,140
76,2,309,0,0,2,516
77,3,228,1,2,4,118
78,1,10,1,0,4,348
79,1,212,1,1,6,147
80,1,112,0,0,5,463
81,3,8,1,0,4,268
82,2,292,1,1,2,101
83,1,362,1,1,3,428
84,1,253,0,1,2,433
85,1,14,0,1,6,280
86,1,240,2,0,5,224
87,2,242,1,1,5,251
88,2,342,0,3,4,211
89,3,149,0,2,4,285
90,1,236,0,0,2,117
91,1,306,0,0,3,521
92,2,167,0,3,2,365
93,3,20,0,1,5,567
94,2,216,1,1,2,436
95,3,343,0,2,5,318
96,1,135,1,0,4,391
97,2,129,0,1,3,470
98,1,294,0,3,2,59
99,1,246,0,1,3,577
100,1,189,0,0,3,252
101,1,44,1,0,5,153
102,2,86,1,0,2,244
103,1,44,0,2,5,147
104,2,330,0,0,5,256
105,4,145,0,0,2,473
106,1,51,1,3,5,578
107,1,242,1,0,4,466
108,3,294,0,0,5,41
109,1,51,1,0,2,151
110,1,266,1,0,2,576
111,1,120,0,1,3,518
112,1,200,0,3,3,280
113,4,248,2,2,5,511
114,3,70,1,1,5,579
115,2,341,0,1,6,309
116,3,57,0,1,2,366
117,3,39,0,0,1,197
118,1,289,0,0,4,357
119,3,18,1,3,3,275
120,2,220,0,0,3,330
121,3,313,1,0,4,229
122,3,244,1,1,2,529
123,1,352,0,1,4,42
124,1,304,0,0,3,395
125,1,298,0,0,4,126
126,1,283,1,0,5,100
127,3,74,0,1,2,386
128,3,110,1,0,6,573
129,1,180,1,1,4,279
130,2,32,0,1,6,283
131,1,234,2,2,3,211
132,1,282,2,0,4,195
133,1,25,0,0,3,33
134,1,331,0,1,5,492
135,4,279,2,2,4,174
136,1,226,2,0,3,194
137,2,57,0,1,6,373
138,2,180,0,0,3,134
139,1,232,0,0,3,577
140,5,343,2,1,4,343
141,4,287,0,0,4,198
142,1,64,0,2,3,549
143,1,232,1,1,3,465
144,1,289,0,1,7,541
145,1,213,1,1,5,438
146,1,258,0,1,2,465
147,2,18,1,0,3,344
148,2,175,0,2,7,571
149,1,229,1,3,5,92
150,1,226,1,0,6,61
151,4,84,0,0,3,240
152,1,291,0,0,5,492
153,1,246,0,1,5,592
154,1,110,0,1,3,109
155,5,254,1,2,4,372
156,1,88,1,2,4,261
157,2,72,0,1,3,158
158,3,30,1,1,5,48
159,1,172,1,1,5,386
160,2,309,1,1,6,448
161,1,343,0,1,5,110
