user_id,session_id,event_time,event,device,region,channel,product_category,revenue,bonus_flag,funnel_stage,funnel_rank,prev_rank,valid_sequence,device_type,location,traffic_source,purchase_amount,bounced,session_duration
USR-00001,SES-00001,,add to cart,Tablet,South,Organic,Electronics,0.0,Yes,Other,0,,1,Tablet,South,Organic,0.0,0,
USR-00001,SES-00001,,browse,Tablet,South,Organic,Electronics,0.0,Yes,Visit Website,1,0.0,1,Tablet,South,Organic,0.0,0,
USR-00001,SES-00001,,checkout,Tablet,South,Organic,Electronics,0.0,Yes,Checkout,4,1.0,1,Tablet,South,Organic,0.0,0,
USR-00002,SES-00002,2026-07-08 06:42:18,browse,Desktop,East,Email,Sports,0.0,Yes,Visit Website,1,,1,Desktop,East,Email,0.0,1,14400.0
USR-00002,SES-00002,2026-07-08 10:42:18,add to cart,Desktop,East,Email,Sports,0.0,Yes,Other,0,1.0,0,Desktop,East,Email,0.0,1,14400.0
USR-00003,SES-00003,,browse,Tablet,South,Email,Fashion,0.0,Yes,Visit Website,1,,1,Tablet,South,Email,0.0,1,60.0
USR-00004,SES-00004,2026-07-08 00:00:48,add to cart,Tablet,East,Organic,Sports,0.0,Yes,Other,0,,1,Tablet,East,Organic,0.0,0,7200.0
USR-00004,SES-00004,2026-07-08 02:00:48,checkout,Tablet,East,Organic,Sports,0.0,Yes,Checkout,4,0.0,1,Tablet,East,Organic,0.0,0,7200.0
USR-00004,SES-00004,,browse,Tablet,East,Organic,Sports,0.0,Yes,Visit Website,1,4.0,0,Tablet,East,Organic,0.0,0,7200.0
USR-00005,SES-00005,2026-07-08 01:31:42,checkout,Desktop,South,Google Ads,Beauty,0.0,Yes,Checkout,4,,1,Desktop,South,Google Ads,0.0,0,10800.0
USR-00005,SES-00005,2026-07-08 04:31:42,purchase,Desktop,South,Google Ads,Beauty,427.16,No,Purchase,5,4.0,1,Desktop,South,Google Ads,427.16,0,10800.0
USR-00005,SES-00005,,add to cart,Desktop,South,Google Ads,Beauty,0.0,Yes,Other,0,5.0,0,Desktop,South,Google Ads,0.0,0,10800.0
USR-00005,SES-00005,,browse,Desktop,South,Google Ads,Beauty,0.0,Yes,Visit Website,1,0.0,1,Desktop,South,Google Ads,0.0,0,10800.0
USR-00006,SES-00006,2026-07-08 00:28:48,browse,Desktop,East,Email,Electronics,0.0,Yes,Visit Website,1,,1,Desktop,East,Email,0.0,1,10800.0
USR-00006,SES-00006,2026-07-08 03:28:48,add to cart,Desktop,East,Email,Electronics,0.0,Yes,Other,0,1.0,0,Desktop,East,Email,0.0,1,10800.0
USR-00007,SES-00007,2026-07-08 01:15:12,add to cart,Desktop,West,Social Media,Fashion,0.0,Yes,Other,0,,1,Desktop,West,Social Media,0.0,0,7200.0
USR-00007,SES-00007,2026-07-08 03:15:12,checkout,Desktop,West,Social Media,Fashion,0.0,Yes,Checkout,4,0.0,1,Desktop,West,Social Media,0.0,0,7200.0
USR-00007,SES-00007,,browse,Desktop,West,Social Media,Fashion,0.0,Yes,Visit Website,1,4.0,0,Desktop,West,Social Media,0.0,0,7200.0
USR-00008,SES-00008,,browse,Mobile,North,Social Media,Sports,0.0,Yes,Visit Website,1,,1,Mobile,North,Social Media,0.0,1,60.0
USR-00009,SES-00009,,add to cart,Desktop,North,Organic,Fashion,0.0,Yes,Other,0,,1,Desktop,North,Organic,0.0,1,
USR-00009,SES-00009,,browse,Desktop,North,Organic,Fashion,0.0,Yes,Visit Website,1,0.0,1,Desktop,North,Organic,0.0,1,
USR-00010,SES-00010,2026-07-08 09:25:18,browse,Mobile,East,Organic,Sports,0.0,Yes,Visit Website,1,,1,Mobile,East,Organic,0.0,1,60.0
USR-00011,SES-00011,2026-07-08 17:35:48,browse,Tablet,North,Google Ads,Home,0.0,Yes,Visit Website,1,,1,Tablet,North,Google Ads,0.0,1,10800.0
USR-00011,SES-00011,2026-07-08 20:35:48,add to cart,Tablet,North,Google Ads,Home,0.0,Yes,Other,0,1.0,0,Tablet,North,Google Ads,0.0,1,10800.0
USR-00012,SES-00012,,add to cart,Desktop,South,Social Media,Home,0.0,Yes,Other,0,,1,Desktop,South,Social Media,0.0,1,
USR-00012,SES-00012,,browse,Desktop,South,Social Media,Home,0.0,Yes,Visit Website,1,0.0,1,Desktop,South,Social Media,0.0,1,
USR-00013,SES-00013,2026-07-08 11:19:18,browse,Mobile,South,Google Ads,Sports,0.0,Yes,Visit Website,1,,1,Mobile,South,Google Ads,0.0,1,7200.0
USR-00013,SES-00013,2026-07-08 13:19:18,add to cart,Mobile,South,Google Ads,Sports,0.0,Yes,Other,0,1.0,0,Mobile,South,Google Ads,0.0,1,7200.0
USR-00014,SES-00014,,add to cart,Desktop,West,Email,Electronics,0.0,Yes,Other,0,,1,Desktop,West,Email,0.0,0,
USR-00014,SES-00014,,browse,Desktop,West,Email,Electronics,0.0,Yes,Visit Website,1,0.0,1,Desktop,West,Email,0.0,0,
USR-00014,SES-00014,,checkout,Desktop,West,Email,Electronics,0.0,Yes,Checkout,4,1.0,1,Desktop,West,Email,0.0,0,
USR-00015,SES-00015,2026-07-08 08:01:30,browse,Tablet,East,Social Media,Fashion,0.0,Yes,Visit Website,1,,1,Tablet,East,Social Media,0.0,0,36000.0
USR-00015,SES-00015,2026-07-08 13:01:30,add to cart,Tablet,East,Social Media,Fashion,0.0,Yes,Other,0,1.0,0,Tablet,East,Social Media,0.0,0,36000.0
USR-00015,SES-00015,2026-07-08 18:01:30,checkout,Tablet,East,Social Media,Fashion,0.0,Yes,Checkout,4,0.0,1,Tablet,East,Social Media,0.0,0,36000.0
USR-00016,SES-00016,2026-07-08 11:38:18,browse,Desktop,South,Social Media,Fashion,0.0,Yes,Visit Website,1,,1,Desktop,South,Social Media,0.0,1,60.0
USR-00017,SES-00017,2026-07-08 13:19:54,browse,Desktop,West,Google Ads,Beauty,0.0,Yes,Visit Website,1,,1,Desktop,West,Google Ads,0.0,0,14400.0
USR-00017,SES-00017,2026-07-08 15:19:54,add to cart,Desktop,West,Google Ads,Beauty,0.0,Yes,Other,0,1.0,0,Desktop,West,Google Ads,0.0,0,14400.0
USR-00017,SES-00017,2026-07-08 17:19:54,checkout,Desktop,West,Google Ads,Beauty,0.0,Yes,Checkout,4,0.0,1,Desktop,West,Google Ads,0.0,0,14400.0
USR-00018,SES-00018,,add to cart,Tablet,South,Google Ads,Beauty,0.0,Yes,Other,0,,1,Tablet,South,Google Ads,0.0,1,
USR-00018,SES-00018,,browse,Tablet,South,Google Ads,Beauty,0.0,Yes,Visit Website,1,0.0,1,Tablet,South,Google Ads,0.0,1,
USR-00019,SES-00019,,browse,Tablet,South,Google Ads,Home,0.0,Yes,Visit Website,1,,1,Tablet,South,Google Ads,0.0,1,60.0
